competence;id_agent;modulation
c-s-comm-04;103;0
c-s-comm-04;104;0
c-s-comm-04;105;0
c-s-comm-04;106;0
c-s-comm-04;107;0
c-s-comm-04;108;0
c-s-comm-04;109;0
c-s-comm-04;110;0
c-s-comm-04;111;0
c-s-comm-04;112;0
c-s-comm-04;113;0
c-s-comm-04;114;0
c-s-comm-04;115;0
c-s-comm-04;116;0
c-s-comm-04;117;0
c-s-comm-04;118;0
c-s-comm-04;119;0
c-s-comm-04;120;0
c-s-comm-04;121;0
c-s-comm-04;122;0
c-s-comm-04;123;0
c-s-comm-04;124;0
c-s-comm-04;125;0
c-s-comm-04;126;0
c-s-comm-04;127;0
c-s-comm-04;128;0
c-s-comm-04;129;0
c-s-comm-04;130;0
c-s-comm-04;131;0
c-s-comm-04;132;0
c-s-comm-04;133;0
c-s-comm-04;134;0
c-s-comm-04;135;0
c-s-comm-04;136;0
c-s-comm-04;137;0
c-s-comm-04;138;0
c-s-comm-04;139;0
c-s-comm-04;140;0
c-s-comm-04;141;0
c-s-comm-04;142;0
c-s-comm-04;143;0
c-s-comm-04;144;2,5
c-s-comm-04;145;0
c-s-comm-04;146;0
c-s-comm-04;147;0
c-s-comm-04;148;0
c-s-comm-04;149;0
c-s-comm-04;150;0
c-s-comm-04;151;0
c-s-comm-04;152;0
c-s-comm-04;153;3
c-s-comm-04;154;0
c-s-comm-04;155;0
c-s-comm-04;156;3
c-s-comm-04;157;0
c-s-comm-04;158;0
c-s-comm-04;159;0
c-s-comm-04;160;0
c-s-comm-04;161;0
c-s-comm-04;162;0
c-s-comm-04;163;0
c-s-comm-04;164;0
c-s-comm-04;165;0
c-s-comm-04;166;0
c-s-comm-04;167;0
c-s-comm-04;168;0
c-s-comm-04;169;3,5
c-s-comm-04;170;0
c-s-comm-04;171;0
c-s-comm-04;172;0
c-s-comm-04;173;0
c-s-comm-04;174;0
c-s-comm-04;175;0
c-s-comm-04;176;0
c-s-comm-04;177;0
c-s-comm-04;178;0
c-s-comm-04;179;0
c-s-comm-04;180;0
c-s-comm-04;181;0
c-s-comm-04;182;0
c-s-comm-04;183;0
c-s-comm-04;184;0
c-s-comm-04;185;0
c-s-comm-04;186;0
c-s-comm-04;187;0
c-s-comm-04;188;0
c-s-comm-04;189;0
c-s-comm-04;190;0
c-s-comm-04;191;0
c-s-comm-04;192;0
c-s-comm-04;193;0
c-s-comm-04;194;0
c-s-comm-04;195;0
c-s-comm-04;196;0
c-s-comm-04;197;0
c-s-comm-04;198;0
c-s-comm-04;199;0
c-s-comm-04;200;0
c-s-comm-04;201;0
c-s-comm-04;202;0
c-s-comm-04;203;0
c-se-gene-01;1 ;4
c-se-gene-01;2;4
c-se-gene-01;3;4
c-se-gene-01;4;4
c-se-gene-01;5;4
c-se-gene-01;6;3
c-se-gene-01;7;0
c-se-gene-01;8;3
c-se-gene-01;9;3,5
c-se-gene-01;10;3
c-se-gene-01;11;0
c-se-gene-01;12;3
c-se-gene-01;13;4,5
c-se-gene-01;14;0
c-se-gene-01;15;3,5
c-se-gene-01;16;0
c-se-gene-01;17;0
c-se-gene-01;18;3,5
c-se-gene-01;19;0
c-se-gene-01;20;0
c-se-gene-01;21;4,5
c-se-gene-01;22;3,5
c-se-gene-01;23;3,5
c-se-gene-01;24;0
c-se-gene-01;25;3,5
c-se-gene-01;26;0
c-se-gene-01;27;2,5
c-se-gene-01;28;3,5
c-se-gene-01;29;3,5
c-se-gene-01;30;3
c-se-gene-01;31;3
c-se-gene-01;32;3
c-se-gene-01;33;4
c-se-gene-01;34;3
c-se-gene-01;35;2
c-se-gene-01;36;3
c-se-gene-01;37;3
c-se-gene-01;38;3
c-se-gene-01;39;3
c-se-gene-01;40;3
c-se-gene-01;41;3,5
c-se-gene-01;42;3
c-se-gene-01;43;3,5
c-se-gene-01;44;3
c-se-gene-01;45;2
c-se-gene-01;46;4
c-se-gene-01;47;3
c-se-gene-01;48;3
c-se-gene-01;49;4
c-se-gene-01;50;3,5
c-se-gene-01;51;3
c-se-gene-01;52;4,5
c-se-gene-01;53;3
c-se-gene-01;54;0
c-se-gene-01;55;3,5
c-se-gene-01;56;0
c-se-gene-01;57;3,5
c-se-gene-01;58;2,5
c-se-gene-01;59;3
c-se-gene-01;60;0
c-se-gene-01;61;3,5
c-se-gene-01;62;3,5
c-se-gene-01;63;3
c-se-gene-01;64;3
c-se-gene-01;65;3
c-se-gene-01;66;3
c-se-gene-01;67;3
c-se-gene-01;68;3
c-se-gene-01;69;3
c-se-gene-01;70;0
c-se-gene-01;71;2
c-se-gene-01;72;4
c-se-gene-01;73;2,5
c-se-gene-01;74;3,5
c-se-gene-01;75;3,5
c-se-gene-01;76;4,5
c-se-gene-01;77;3
c-se-gene-01;78;2
c-se-gene-01;79;3
c-se-gene-01;80;3
c-se-gene-01;81;3
c-se-gene-01;82;0
c-se-gene-01;83;4
c-se-gene-01;84;3
c-se-gene-01;85;3
c-se-gene-01;86;3
c-se-gene-01;87;4
c-se-gene-01;88;2
c-se-gene-01;89;3
c-se-gene-01;90;4
c-se-gene-01;91;3
c-se-gene-01;92;3
c-se-gene-01;93;3
c-se-gene-01;94;4
c-se-gene-01;95;3,5
c-se-gene-01;96;4
c-se-gene-01;97;3
c-se-gene-01;98;3
c-se-gene-01;99;3
c-se-gene-01;100;3,5
c-se-gene-01;101;2
c-se-gene-01;102;3
c-se-gene-01;103;2
c-se-gene-01;104;3
c-se-gene-01;105;3
c-se-gene-01;106;3
c-se-gene-01;107;3
c-se-gene-01;108;3
c-se-gene-01;109;3
c-se-gene-01;110;3,5
c-se-gene-01;111;2
c-se-gene-01;112;3
c-se-gene-01;113;3
c-se-gene-01;114;3
c-se-gene-01;115;3
c-se-gene-01;116;3
c-se-gene-01;117;3
c-se-gene-01;118;2
c-se-gene-01;119;3
c-se-gene-01;120;2
c-se-gene-01;121;2
c-se-gene-01;122;2
c-se-gene-01;123;2
c-se-gene-01;124;3
c-se-gene-01;125;3
c-se-gene-01;126;3
c-se-gene-01;127;3
c-se-gene-01;128;3
c-se-gene-01;129;0
c-se-gene-01;130;0
c-se-gene-01;131;1
c-se-gene-01;132;2
c-se-gene-01;133;1
c-se-gene-01;134;2
c-se-gene-01;135;2
c-se-gene-01;136;4
c-se-gene-01;137;4
c-se-gene-01;138;4
c-se-gene-01;139;2
c-se-gene-01;140;3
c-se-gene-01;141;2
c-se-gene-01;142;2,5
c-se-gene-01;143;2
c-se-gene-01;144;3
c-se-gene-01;145;3
c-se-gene-01;146;3
c-se-gene-01;147;3
c-se-gene-01;148;2
c-se-gene-01;149;3
c-se-gene-01;150;4
c-se-gene-01;151;3
c-se-gene-01;152;0
c-se-gene-01;153;3
c-se-gene-01;154;2
c-se-gene-01;155;3
c-se-gene-01;156;4
c-se-gene-01;157;2
c-se-gene-01;158;3
c-se-gene-01;159;3
c-se-gene-01;160;3
c-se-gene-01;161;3
c-se-gene-01;162;2
c-se-gene-01;163;3
c-se-gene-01;164;3
c-se-gene-01;165;2,5
c-se-gene-01;166;3
c-se-gene-01;167;2
c-se-gene-01;168;2,5
c-se-gene-01;169;3
c-se-gene-01;170;3
c-se-gene-01;171;2
c-se-gene-01;172;2
c-se-gene-01;173;3
c-se-gene-01;174;2
c-se-gene-01;175;3
c-se-gene-01;176;3
c-se-gene-01;177;2
c-se-gene-01;178;0
c-se-gene-01;179;0
c-se-gene-01;180;0
c-se-gene-01;181;0
c-se-gene-01;182;4,5
c-se-gene-01;183;0
c-se-gene-01;184;0
c-se-gene-01;185;0
c-se-gene-01;186;0
c-se-gene-01;187;0
c-se-gene-01;188;3,5
c-se-gene-01;189;3,5
c-se-gene-01;190;2,5
c-se-gene-01;191;3,5
c-se-gene-01;192;2,5
c-se-gene-01;193;3,5
c-se-gene-01;194;3,5
c-se-gene-01;195;3,5
c-se-gene-01;196;0
c-se-gene-01;197;2,5
c-se-gene-01;198;0
c-se-gene-01;199;3
c-se-gene-01;200;3,5
c-se-gene-01;201;3
c-se-gene-01;202;3
c-se-gene-01;203;3
c-se-gene-02;1 ;3
c-se-gene-02;2;3
c-se-gene-02;3;4
c-se-gene-02;4;4
c-se-gene-02;5;4
c-se-gene-02;6;2
c-se-gene-02;7;3
c-se-gene-02;8;3,5
c-se-gene-02;9;3
c-se-gene-02;10;3
c-se-gene-02;11;2
c-se-gene-02;12;3
c-se-gene-02;13;3
c-se-gene-02;14;3
c-se-gene-02;15;3
c-se-gene-02;16;3
c-se-gene-02;17;3
c-se-gene-02;18;3
c-se-gene-02;19;3
c-se-gene-02;20;4
c-se-gene-02;21;4
c-se-gene-02;22;3
c-se-gene-02;23;4
c-se-gene-02;24;3
c-se-gene-02;25;3
c-se-gene-02;26;3
c-se-gene-02;27;3
c-se-gene-02;28;3
c-se-gene-02;29;3
c-se-gene-02;30;3
c-se-gene-02;31;3
c-se-gene-02;32;3
c-se-gene-02;33;4
c-se-gene-02;34;3
c-se-gene-02;35;3
c-se-gene-02;36;3
c-se-gene-02;37;3
c-se-gene-02;38;3
c-se-gene-02;39;0
c-se-gene-02;40;0
c-se-gene-02;41;3
c-se-gene-02;42;0
c-se-gene-02;43;3
c-se-gene-02;44;3
